casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,offense_cat,city,lat,lon,neighborhood
2017-00119359,0,30 Farragut Ave,11,Assistance Rendered,2017-11-12 21:10:01,JCotugno,Not Used,No violations,2017,other_crime,Cranston,41.7869243,-71.40385669999999,Washington Park
2017-00119358,1,584 River Ave,11,"Assault, Simple",2017-11-12 21:08:00,GSion,11-5-3,SIMPLE ASSAULT/BATTERY,2017,other_crime,Providence,41.8438841,-71.440581,Elmhurst
2017-00119342,0,939 Douglas Ave,11,Missing Persons,2017-11-12 19:47:00,Central Station,Not Used,No violations,2017,other_crime,Providence,41.853687,-71.437866,Wanskuck
2017-00119344,1,121 Tell St,11,"Assault, Simple",2017-11-12 19:46:00,TMiller,11-5-3,SIMPLE ASSAULT/BATTERY,2017,other_crime,Providence,41.8215838,-71.43432690000002,Ward 13
2017-00119339,1,336 Hartford Ave,11,Vandalism,2017-11-12 19:29:00,MRudolph,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,property_crime,Providence,41.8176185,-71.4543645,Hartford
2017-00119328,1,12 Bodell Ave,11,Traffic Violation,2017-11-12 18:55:00,JLanier,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,other_crime,Providence,41.8163177,-71.4530612,Hartford
2017-00119317,1,Broad St At Detroit Ave,11,Traffic Violation,2017-11-12 17:50:00,JButen,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,other_crime,Providence,41.794379,-71.4099112,Elmwood
2017-00119317,1,Broad St At Detroit Ave,11,Traffic Violation,2017-11-12 17:50:00,JButen,31-3-1,Operation of Unregistered Vehicle,2017,other_crime,Providence,41.794379,-71.4099112,Elmwood
2017-00119281,1,102 Unit St,11,Motor Vehicle Theft,2017-11-12 16:12:00,Central Station,11-41-1,LARCENY/O $1500 - AUTO THEFT,2017,property_crime,Providence,41.8281233,-71.4547734,Mount Pleasant
2017-00119280,1,N  Main St At Branch Ave,11,Traffic Violation,2017-11-12 16:09:00,DCastigliego,31-47-9,Operating a MV without Evidence of Insurance,2017,other_crime,Providence,41.8420469,-71.4079105,Mount Hope
