casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,offense_cat,hour,minute,day,lat,lon,city,neighborhood
2017-00106398,1,20 Klondike St,10,Burglary,2017-10-11 11:24:00,JO,11-8-1.1,ATTEMPTED BREAKING AND ENTERING,2017,property_crime,11,24,11,41.81662439999999,-71.4427362,Providence,Olneyville
2017-00106396,1,13 Audrey St,10,RI Statute Violation,2017-10-11 11:16:00,BAuclair,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,2017,other_crime,11,16,11,41.8068049,-71.4177661,Providence County,Providence
2017-00106396,1,13 Audrey St,10,RI Statute Violation,2017-10-11 11:16:00,BAuclair,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,2017,other_crime,11,16,11,41.8351848,-71.4355921,Providence,Elmhurst
2017-00106390,1,94 Burnside St,10,Vandalism,2017-10-11 10:49:57,LTaveras,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,property_crime,10,49,11,41.8241304,-71.4149846,Providence,Ward 13
2017-00106375,1,31 Devereux St ,10,Bad Checks,2017-10-11 10:32:00,KLafazia,19-9-24,FRAUDULENT CHECKS- (UNDER $1000),2017,other_crime,10,32,11,25.7697123,-80.13478959999999,Miami Beach,South Beach
2017-00106375,1,31 Devereux St ,10,Receiving Stolen Property,2017-10-11 10:32:00,KLafazia,11-41-2,RECEIVING STOLEN GOODS-MISDEMEANOR,2017,other_crime,10,32,11,35.1717233,-106.5515018,Countrywood Area,Barstow Street Northeast
2017-00106368,1,385 Huntington Ave,10,Burglary,2017-10-11 09:37:22,TGomes,11-8-1,BURGLARY,2017,property_crime,9,37,11,41.8502553,-71.42054019999999,Providence,Charles
2017-00106359,1,325 Washington St,10,RI Statute Violation,2017-10-11 09:32:00,TRudd,11-37.1-3,SEXUAL OFFENDER REGISTRATION REQUIRED,2017,other_crime,9,32,11,41.8476615,-71.4285854,Providence County,Providence
2017-00106356,1,101 Corinth St,10,Burglary,2017-10-11 09:20:58,LTaveras,11-8-1.1,ATTEMPTED BREAKING AND ENTERING,2017,property_crime,9,20,11,41.8277688,-71.4421833,Providence,Valley
2017-00106353,1,184 Alabama Ave,10,RI Statute Violation,2017-10-11 09:13:00,Central Station,11-59-3,VIOLATION OF RESTRAINING ORDER,2017,other_crime,9,13,11,41.818038,-71.42085999999999,Providence,Ward 13
2017-00106351,1,Washington St At Eddy St,10,Burglary,2017-10-11 09:04:00,JLanier,11-8-5,B&E OTHER BUILDING W/CRIM INTENT,2017,property_crime,9,4,11,42.8903821,-77.27578199999999,Ontario County,Canandaigua
2017-00106351,1,Washington St At Eddy St,10,Vandalism,2017-10-11 09:04:00,JLanier,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,property_crime,9,4,11,37.8070934,-122.4095823,San Francisco,North Beach
2017-00106349,1,123 Mathewson St,10,Drug Offenses,2017-10-11 08:59:00,VIn,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,2017,other_crime,8,59,11,41.849132,-71.4287622,Providence,Wanskuck
2017-00106347,1,Gaspee St At Francis St,10,Drug Offenses,2017-10-11 08:53:25,MCifuentes,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,2017,other_crime,8,53,11,41.8883959,-71.3586697,Providence County,Pawtucket
2017-00106338,1,195 Carleton St,10,Burglary,2017-10-11 08:21:00,RKessler,11-8-1,BURGLARY,2017,property_crime,8,21,11,41.8251818,-71.44815299999999,Providence,Mount Pleasant
2017-00106344,1,5 Hooper Pl,10,Larceny from Building,2017-10-11 08:19:00,,11-41-1,LARCENY/U $1500 - FROM BLD,2017,property_crime,8,19,11,41.8274486,-71.4139414,Providence County,Providence
2017-00106334,1,424 Adelaide Ave,10,Disorderly Conduct,2017-10-11 08:05:14,JAbatiello,11-45-1,DISORDERLY CONDUCT,2017,other_crime,8,5,11,41.8093679,-71.448739,Providence County,Providence
2017-00106334,1,424 Adelaide Ave,10,"Assault, Aggravated",2017-10-11 08:05:14,JAbatiello,11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,2017,violent_crime,8,5,11,40.9760427,-74.1173663,Bergen County,Ridgewood
2017-00500089,1,173 Ivy St,10,"Larceny, Other",2017-10-11 07:56:09,SPartridge,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,property_crime,7,56,11,41.82557449999999,-71.3879046,Providence,Fox Point
2017-00106335,1,21 Berlin St,10,"Larceny, Other",2017-10-11 07:52:00,JO,11-8-1.1,ATTEMPTED BREAKING AND ENTERING - TEMP STRUCTURE,2017,property_crime,7,52,11,41.79327929999999,-71.4068602,Providence,Washington Park
