LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.4602001,41.7863196,92,NEW HAMPSHIRE ST,,CRANSTON,,,,64333,a58740f444b80b3a
-71.4603282,41.7863505,90,NEW HAMPSHIRE ST,,CRANSTON,,,,64334,1c39651b8a66979f
-71.4276119,41.7804663,41,WOODBINE ST,,CRANSTON,,,,64071,7c94f79d66abcb77
-71.4376319,41.7709327,583,PONTIAC AV,,CRANSTON,,,,64087,213a6f04ef2a7606
-71.4589216,41.7854949,128,VERMONT ST,,CRANSTON,,,,64336,fbb7962220bb3c32
-71.4638226,41.7845599,9,AMERICA ST,,CRANSTON,,,,64367,4a22280c72e081ce
-71.4387284,41.7800475,912,PARK AV,,CRANSTON,,,,64383,899ec0dba4b43f8e
-71.4356899,41.784439,119,MAURAN ST,,CRANSTON,,,,64384,03a9c062f3e64ffd
-71.4434207,41.804671,60,LINCOLN AV,,CRANSTON,,,,64408,62af41890d0d45df
-71.4433566,41.8036228,27,LINCOLN AV,,CRANSTON,,,,64423,d0d9ce2bd4f669ca
-71.4431525,41.8035563,25 1/2,LINCOLN AV,,CRANSTON,,,,64424,3c5c0060aee77ef5
-71.4324017,41.7811586,235,PONTIAC AV,,CRANSTON,,,,64096,bc94c1cf9431dfd4
-71.434345,41.7819814,101,JULIA ST,,CRANSTON,,,,64110,de1e48835f750e46
-71.435852,41.7778549,30,ROLFE SQ,,CRANSTON,,,,64128,406ccb524dfa55b0
-71.4409936,41.8016667,41,WASHINGTON AV,,CRANSTON,,,,64426,05ae98d5414d82ec
-71.4457406,41.8049733,491,FARMINGTON AV,,CRANSTON,,,,64459,ab6998e403944dc9
-71.4457972,41.8057231,42,BAILEY ST,,CRANSTON,,,,64474,a046ca005247ff06
-71.4432532,41.8041422,45,LINCOLN AV,,CRANSTON,,,,64416,3436fad4dae3aca6
-71.4430305,41.8040627,43,LINCOLN AV,,CRANSTON,,,,64417,36daaf38d8c3f875
-71.4432688,41.8040126,39,LINCOLN AV,,CRANSTON,,,,64418,6fabbfe261451dac
-71.4414306,41.8016329,42,GARFIELD AV,,CRANSTON,,,,64433,1f6d214a2a5e7feb
-71.4615928,41.7881857,72,FLORIDA AV,,CRANSTON,,,,64352,e33a744a62501024
-71.4611766,41.7906756,1477,CRANSTON ST,,CRANSTON,,,,64361,83cdecc5a95cb3df
-71.4370142,41.7838622,540,RESERVOIR AV,,CRANSTON,,,,64372,155ef15ba9ea4b3a
-71.4449887,41.7782076,810,RESERVOIR AV,,CRANSTON,,,,64377,e3f5d5877860232e
-71.4385575,41.7815497,16,LAMBERT ST,,CRANSTON,,,,64379,8cf3a53f02872d73
-71.4439502,41.8025732,887,CRANSTON ST,,CRANSTON,,,,64395,e4f91d0097faf7a3
-71.4430717,41.8046489,59,LINCOLN AV,,CRANSTON,,,,64411,c1728f039ca281e3
-71.4431862,41.8045132,55,LINCOLN AV,,CRANSTON,,,,64413,250ca7e75c583370
-71.4432999,41.8038935,35,LINCOLN AV,,CRANSTON,,,,64420,e283e0ec30a6213b
-71.436242,41.7820995,105,ELDRIDGE ST,,CRANSTON,,,,64160,e12319cec7e51ce5
-71.4580174,41.8053701,347,DYER AV,,CRANSTON,,,,64171,e1e497ca58560a34
-71.4470087,41.8026333,18,RYDER AV,,CRANSTON,,,,64185,7bdafeba6096fcd1
-71.4477524,41.8033699,13,JUNE AV,,CRANSTON,,,,64187,2a0d033f6116167c
-71.4471712,41.8014543,77,BAIN ST,,CRANSTON,,,,64205,43b689fe4a9497e7
-71.4430954,41.8037335,33 1/2,LINCOLN AV,,CRANSTON,,,,64422,ca5ffcf51d8ab6d5
-71.4410833,41.8025742,5 1/2,WASHINGTON AV,,CRANSTON,,,,64427,1bb9735e10a374b1
-71.4409723,41.7998709,15,W HARRY ST,,CRANSTON,,,,64436,f5627375b71b52ae
-71.4410096,41.8001489,7,W HARRY ST,,CRANSTON,,,,64438,a96dc84c4a7e5525
-71.4469955,41.8057887,71,BAILEY ST,,CRANSTON,,,,64463,f0089f5e9e272cde
-71.4474621,41.8015642,143,FRANKLIN AV,,CRANSTON,,,,64219,8d9f9bfff9e20d43
-71.4495871,41.7961214,1111,CRANSTON ST,,CRANSTON,,,,64221,261eb34f985bbfaf
-71.4442857,41.7603029,26,HARRIS DRIFTWAY,,CRANSTON,,,,64492,7d5daffd512fef1f
-71.444304,41.7603305,28,HARRIS DRIFTWAY,,CRANSTON,,,,64493,47a3a0dfdf7ee1d3
-71.4446283,41.7564908,1000,PONTIAC AV,,CRANSTON,,,,64506,d5e3abea4f08273d
-71.4458435,41.7566022,1008,PONTIAC AV,,CRANSTON,,,,64507,c529f4526c4b2a8b
-71.4452409,41.7544817,81,EDDY ST,,CRANSTON,,,,64510,7262f2abc3633032
-71.4393011,41.7798676,17,RUGBY ST,,CRANSTON,,,,64523,65854ce471fffa5c
-71.4474923,41.7763761,900,RESERVOIR AV,,CRANSTON,,,,64486,7eefb04575e53683
-71.4560432,41.7642939,113,HYBRID DR,,CRANSTON,,,,64502,e61c1b828d7c21ea
-71.4555249,41.7640411,106,HYBRID DR,,CRANSTON,,,,64504,975665a4c19ed606
-71.4475477,41.7552112,3,ZINNIA DR,,CRANSTON,,,,64520,4444bbc6e89ab51c
-71.4423062,41.7774915,365,AUBURN ST,,CRANSTON,,,,64527,08081f34d2144a29
